_id,PROVINCE_NAMETH,Sugarwhite,Sugarrefine,SugarWhitetotal,Sugarrawtotal,Sugartotal,SugarofCane,ProductionYear
455,สระแก้ว,192131.5,127692,319823.5,2106617.4,2429213.9,106.1200552,2566/67
456,สระบุรี,114395.5,346603,460998.5,918366.07,1380931.06,100.950806,2566/67
457,สิงห์บุรี,98321,212453.5,310774.5,498509.5,810335.176,97.27961625,2566/67
458,สุโขทัย,58049.5,266492.5,324542,668660.5,1012179.07,106.0760256,2566/67
459,สุพรรณบุรี,204163.5,444553.85,648717.35,1983098.86,3019957.292,89.65632455,2566/67
460,สุรินทร์,43496,567754,611250,869639,1480889,107.5107921,2566/67
461,หนองบัวลำภู,108208.5,269817.5,378026,2033167.9,2411193.9,107.4251329,2566/67
462,อำนาจเจริญ,0,0,0,1233497.8,1233497.8,124.3894394,2566/67
463,อุดรธานี,129404.5,577566.25,706970.75,3639528.64,4396415.363,105.1720505,2566/67
464,อุตรดิตถ์,17285.5,97680,114965.5,529960.8,666919.013,102.361566,2566/67
465,อุทัยธานี,191261,221895.75,413156.75,1754821.52,2212100.213,88.57751725,2566/67
