Year,Month,LicenseNo,PermitDate,ExpireDate,TariffCode,StatisticalCode,Buyer,BuyerCountryCode,BuyerCountryName,Seller,OriginCountryCode,OriginCountryName,BirthplaceCountryCode,BirthplaceCountryName,Vehicle,CustomPortCode,CustomPortName,Weight,WeightUnit,Quantity,QuantityUnit,PricePerUnit,CurrencyCode,CurrencyName,ExchangeRate,TotalPrice,TotalPriceType,CompanyTaxNo,CompanyName
2566,5,WTO-23050047-23050045,56:06.8,56:06.8,17019100,1,NULL,NULL,NULL,SWEET HOME CANDIED PRODUCTS SDN BHD,MY,MALAYSIA,MY,MALAYSIA,ASIATIC BAY /V.N101,119,?????????????? ???.,5,TNE,250,BG,46,USD,???????????,34.5382,398916.21,CIF,1.05E+11,??????????? ??? ????????? ?????
2565,10,WTO-22100019-22100020,19:33.9,19:33.9,17019910,3,NULL,NULL,NULL,Merck KGaA,DE,GERMANY,DE,GERMANY,TG927,1190,?????????????????????,0.006,TNE,6,C62,1162,THB,???,1,6974.52,CPT,1.06E+11,?????? ?????? ?????
2566,3,WTO-23030036-23030033,21:10.5,21:10.5,17019910,3,NULL,NULL,NULL,Merck Life Science KGaA,DE,GERMANY,DE,GERMANY,LX180,1190,?????????????????,0.003,TNE,3,C62,1026,THB,???,1,3077.85,CPT,1.06E+11,?????? ?????? ?????
2566,1,WTO-23010007-23010006,54:58.5,54:58.5,17019910,3,NULL,NULL,NULL,Merck Life Science KGaA,DE,GERMANY,DE,GERMANY,LX180,1190,?????????????????,0.002,TNE,2,C62,998,THB,???,1,1995.86,CPT,1.06E+11,?????? ?????? ?????
2566,10,WTO-23100116-23100112,26:26.8,26:26.8,17019910,3,NULL,NULL,NULL,Sigma Aldrich Chemie GmbH,DE,GERMANY,CH,SWITZERLAND,TK058,1190,?????????????????,0.00025,TNE,1,C62,494,THB,???,1,493.85,EXW,1.06E+11,?????? ?????? ?????
2566,11,WTO-23110119-23110116,50:01.0,50:01.0,17019910,3,NULL,NULL,NULL,Sigma Aldrich Chemie GmbH,DE,GERMANY,CH,SWITZERLAND,LH104,1190,?????????????????,0.001,TNE,1,C62,1498,THB,???,1,1497.78,EXW,1.06E+11,?????? ?????? ?????
2566,10,WTO-23100106-23100104,40:27.7,40:27.7,17019910,3,NULL,NULL,NULL,Merck Life Science KGaA,DE,GERMANY,DE,GERMANY,QR836,1190,?????????????????,0.006,TNE,6,C62,1446,THB,???,1,8673.42,CPT,1.06E+11,?????? ?????? ?????
2565,12,WTO-22120039-22120038,43:25.2,00:00.0,17019910,3,NULL,NULL,NULL,Merck KGaA,DE,GERMANY,DE,GERMANY,TG921,1190,?????????????????,0.002,TNE,2,C62,998,THB,???,1,1995.86,CPT,1.06E+11,?????? ?????? ?????
2565,10,WTO-22100013-22100014,16:50.2,16:50.2,17019910,3,NULL,NULL,NULL,Merck KGaA,DE,GERMANY,DE,GERMANY,QR0836,1190,?????????????????????,0.003,TNE,3,C62,1162,THB,???,1,3487.26,CPT,1.06E+11,?????? ?????? ?????
2566,8,WTO-23080070-23080068,56:50.2,56:50.2,17019100,2,MCCORMICK (THAILAND) LTD,NULL,NULL,"McCormick & Co., Incorporated",US,U.S.A.,US,U.S.A.,????,2801,??????????????????????????????,0.03132,TNE,31.32,KGM,6,USD,???????????,34.3849,6172.1,CIF,1.06E+11,?????? ??????????? (?????????) ?????
2566,9,WTO-23090100-23090098,48:33.9,48:33.9,17019990,90,NULL,NULL,NULL,Couplet Sugars SA,BE,BELGIUM,BE,BELGIUM,ONE MANHATTAN /034E,2801,??????????????????????????????,21.6,TNE,21600,KGM,2,EUR,????,38.5591,1355737.95,CIP,1.06E+11,?????? ????????? ????? (????????) ?????
2566,11,WTO-23110133-23110130,45:20.4,45:20.4,17019100,1,NULL,NULL,NULL,SWEET HOME CANDIED PRODUCTS SDN BHD,MY,MALAYSIA,MY,MALAYSIA,INESSA / V.038N,119,?????????????? ???.,1,TNE,50,BG,46,USD,???????????,36.511,84340.41,CIF,1.05E+11,??????????? ??? ????????? ?????
2567,1,WTO-24010008-24010005,17:13.3,17:13.3,17019910,3,NULL,NULL,NULL,Sigma Aldrich Chemie GmbH,DE,GERMANY,CH,SWITZERLAND,LH8020,1190,?????????????????,0.00025,TNE,1,C62,1506,THB,???,1,1505.59,EXW,1.06E+11,?????? ?????? ?????
2566,8,WTO-23080073-23080074,21:27.1,21:27.1,17019910,3,NULL,NULL,NULL,Sigma Aldrich Chemie GmbH,DE,GERMANY,CH,SWITZERLAND,LH8088,1190,?????????????????,0.001,TNE,1,C62,4550,THB,???,1,4550.41,EXW,1.06E+11,?????? ?????? ?????
2565,10,WTO-22100016-22100016,22:54.2,22:54.2,17019100,2,NULL,NULL,NULL,"SHORAI CO.,LTD.",JP,JAPAN,JP,JAPAN,WAN HAI 271,250,????????,0.2,TNE,10,CT,5932,JPY,???,0.2618,15527.07,CIF,1.06E+11,?.????-??? ??????? ??????? ?????
2566,7,WTO-23070066-23070066,26:49.7,26:49.7,17019990,1,NULL,NULL,NULL,PURATOS NV,BE,BELGIUM,BE,BELGIUM,ONE MILLAU,2801,??????????????????????????????,0.19,TNE,19,BG,3,EUR,????,38.4015,23712.93,CIF,1.06E+11,?????? ????????(?????????) ?????
2567,1,WTO-24010007-24010006,18:30.9,18:30.9,17019910,3,NULL,NULL,NULL,Sigma Aldrich Chemie GmbH,DE,GERMANY,CH,SWITZERLAND,LH8020,1190,?????????????????,0.001,TNE,1,C62,2193,THB,???,1,2192.84,EXW,1.06E+11,?????? ?????? ?????
2566,7,WTO-23070063-23070061,46:09.3,46:09.3,17019910,3,NULL,NULL,NULL,Merck Life Science KGaA,DE,GERMANY,DE,GERMANY,TG923,1190,?????????????????,0.00025,TNE,1,C62,1172,THB,???,1,1172.1,CPT,1.06E+11,?????? ?????? ?????
2566,8,WTO-23080079-23080082,43:56.7,43:56.7,17019910,3,NULL,NULL,NULL,Sigma Aldrich Chemie GmbH,DE,GERMANY,CH,SWITZERLAND,LH8088,1190,?????????????????,0.001,TNE,1,C62,247,THB,???,1,246.92,EXW,1.06E+11,?????? ?????? ?????
2566,7,WTO-23070067-23070065,24:15.8,24:15.8,17019100,2,?????? ???????? ????? ?????,NULL,NULL,FOREVER SWEETY SUGAR TRADE COMPANY,TW,TAIWAN,TW,TAIWAN,YM INITIATIVE V.313S,119,?????????????? ???.,3.96,TNE,220,CT,33,USD,???????????,34.9423,253511.98,FOB,1.26E+11,?????? ???????? ????? ?????
2565,12,WTO-22120035-22120035,14:10.8,00:00.0,17019100,2,NULL,NULL,NULL,"SHORAI CO.,LTD.",JP,JAPAN,JP,JAPAN,TS SHENZHEN,121,TERMINAL 1 (???.),0.1,TNE,5,CT,5932,JPY,???,0.259813,7706.05,CIF,1.06E+11,?.????-??? ??????? ??????? ?????
2566,3,WTO-23030031-23030030,13:39.1,13:39.1,17019100,2,NULL,NULL,NULL,GARRETT LICENSING LLC SHOPS,US,U.S.A.,US,U.S.A.,MOL  SPARKLE V.1157S,2801,??????????????????????????????,19.278,TNE,850,BG,27,USD,???????????,34.5104,778226.78,EX-WORK,1.06E+11,?????? ????????????? (?????????) ?????
2565,9,WTO-22090003-22090003,41:54.5,41:54.5,17019910,4,"IMANAKA (THAILAND) CO., LTD.",NULL,NULL,THANH THANH CONG - BIEN HOA JOINT STOCK COMPANY ,VN,VIETNAM,VN,VIETNAM,APOLLON D/02235W,2801,???????????????,40,TNE,40,BG,692,USD,???????????,36.0746,998544928,C&F,1.06E+11,???????? (????????) ????? 
2566,12,WTO-23120141-23120138,50:41.4,00:00.0,17019910,3,NULL,NULL,NULL,Sigma Aldrich Chemie GmbH,DE,GERMANY,US,U.S.A.,OS025,1190,?????????????????,1.00E-06,TNE,1,C62,1086,THB,???,1,1085.85,EXW,1.06E+11,?????? ?????? ?????
2566,6,JTP-23060001-23060001,10:15.7,10:15.7,17011200,0,?????? ?????? ????? ?????,NULL,NULL,"Aomori Trading Co., Ltd.",JP,JAPAN,JP,JAPAN,????,119,?????????????? ???.,0.06,TNE,60,BG,330,JPY,???,0.25311,5011.58,C&F,1.06E+11,?????? ?????? ????? ?????
2566,6,WTO-23060056-23060053,26:50.9,26:50.9,17019910,3,NULL,NULL,NULL,Sigma Aldrich Chemie GmbH,DE,GERMANY,CH,SWITZERLAND,OS0025,1190,?????????????????,0.001,TNE,1,C62,4550,THB,???,1,4550.41,EXW,1.06E+11,?????? ?????? ?????
2566,1,WTO-23010008-23010007,55:27.0,55:27.0,17019910,3,NULL,NULL,NULL,Merck Life Science KGaA,DE,GERMANY,DE,GERMANY,LX180,1190,?????????????????,0.04,TNE,40,C62,1667,THB,???,1,66664.4,CPT,1.06E+11,?????? ?????? ?????
